Time[y],reactor_In[t],Reactor_Out[t],Inv[t],92234[t],92235[t],92236[t],92238[t],94238[t],94239[t],94240[t],94241[t],94242[t],95241[t],95242[t],95243[t],96242[t],96243[t],96244[t],96245[t],93237[t],
0,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.0833333,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.166667,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.25,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.333333,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.416667,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.5,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.583333,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.666667,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.75,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.833333,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.916667,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.08333,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.16667,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.25,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.33333,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.41667,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.5,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.58333,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.66667,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.75,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.83333,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.91667,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.08333,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.16667,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.25,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.33333,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.41667,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.5,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.58333,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.66667,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.75,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.83333,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.91667,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,1640,820,820,0.001959,3.91669,3.10301,675.155,0.173393,4.12033,1.88389,1.2186,0.633908,0.0305555,0.000619429,0.145883,0.0159936,0.000417027,0.0597603,0.00382476,0.395505,
3.08333,1640,820,820,0.001959,3.91669,3.10301,675.155,0.173393,4.12033,1.88389,1.2186,0.633908,0.0305555,0.000619429,0.145883,0.0159936,0.000417027,0.0597603,0.00382476,0.395505,
3.16667,1640,820,820,0.001959,3.91669,3.10301,675.155,0.173393,4.12033,1.88389,1.2186,0.633908,0.0305555,0.000619429,0.145883,0.0159936,0.000417027,0.0597603,0.00382476,0.395505,
3.25,1640,820,820,0.001959,3.91669,3.10301,675.155,0.173393,4.12033,1.88389,1.2186,0.633908,0.0305555,0.000619429,0.145883,0.0159936,0.000417027,0.0597603,0.00382476,0.395505,
3.33333,1640,820,820,0.001959,3.91669,3.10301,675.155,0.173393,4.12033,1.88389,1.2186,0.633908,0.0305555,0.000619429,0.145883,0.0159936,0.000417027,0.0597603,0.00382476,0.395505,
