Time[y],reactor_In[t],Reactor_Out[t],Inv[t],92234[t],92235[t],92236[t],92238[t],94238[t],94239[t],94240[t],94241[t],94242[t],95241[t],95242[t],95243[t],96242[t],96243[t],96244[t],96245[t],93237[t],
0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.0833333,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.166667,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.25,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.333333,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.416667,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.5,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.583333,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.666667,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.75,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.833333,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.916667,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.08333,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.16667,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.25,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.33333,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.41667,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.5,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.58333,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.66667,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.75,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.83333,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.91667,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
