Time[y],reactor_In[t],Reactor_Out[t],Inv[t],92234[t],92235[t],92236[t],92238[t],94238[t],94239[t],94240[t],94241[t],94242[t],95241[t],95242[t],95243[t],96242[t],96243[t],96244[t],96245[t],93237[t],
0,81.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.0833333,81.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.166667,81.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.25,81.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.333333,81.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.416667,81.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.5,81.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.583333,81.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.666667,81.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.75,81.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.833333,81.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.916667,81.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,109.2,27.3,27.3,0,0.134923,0.10689,23.2599,0.00596272,0.141956,0.0649081,0.0419763,0.0218432,0.00105468,0,0.00502481,0.000556009,2.65863e-05,0.00205558,0.000134027,0.0136384,
1.08333,109.2,27.3,27.3,0,0.134923,0.10689,23.2599,0.00596272,0.141956,0.0649081,0.0419763,0.0218432,0.00105468,0,0.00502481,0.000556009,2.65863e-05,0.00205558,0.000134027,0.0136384,
1.16667,109.2,27.3,27.3,0,0.134923,0.10689,23.2599,0.00596272,0.141956,0.0649081,0.0419763,0.0218432,0.00105468,0,0.00502481,0.000556009,2.65863e-05,0.00205558,0.000134027,0.0136384,
1.25,109.2,27.3,27.3,0,0.134923,0.10689,23.2599,0.00596272,0.141956,0.0649081,0.0419763,0.0218432,0.00105468,0,0.00502481,0.000556009,2.65863e-05,0.00205558,0.000134027,0.0136384,
1.33333,109.2,27.3,27.3,0,0.134923,0.10689,23.2599,0.00596272,0.141956,0.0649081,0.0419763,0.0218432,0.00105468,0,0.00502481,0.000556009,2.65863e-05,0.00205558,0.000134027,0.0136384,
1.41667,109.2,27.3,27.3,0,0.134923,0.10689,23.2599,0.00596272,0.141956,0.0649081,0.0419763,0.0218432,0.00105468,0,0.00502481,0.000556009,2.65863e-05,0.00205558,0.000134027,0.0136384,
