Time[month],reactor_In[kg],Reactor_Out[kg],
0,81.9,0,
1,109.2,27.3,
2,136.5,54.6,
3,163.8,81.9,
4,191.1,109.2,
5,218.4,136.5,
6,245.7,163.8,
7,273,191.1,
8,300.3,218.4,
9,327.6,245.7,
10,354.9,273,
11,382.2,300.3,
12,409.5,327.6,
13,436.8,354.9,
14,464.1,382.2,
15,491.4,409.5,
16,518.7,436.8,
17,546,464.1,
18,573.3,491.4,
19,600.6,518.7,
20,627.9,546,
21,655.2,573.3,
22,682.5,600.6,
23,709.8,627.9,
24,737.1,655.2,
25,764.4,682.5,
26,791.7,709.8,
27,819,737.1,
28,846.3,764.4,
29,873.6,791.7,
30,900.9,819,
31,928.2,846.3,
32,955.5,873.6,
33,982.8,900.9,
34,1010.1,928.2,
35,1037.4,955.5,
36,1064.7,982.8,
37,1092,1010.1,
38,1119.3,1037.4,
39,1146.6,1064.7,
40,1173.9,1092,
41,1201.2,1119.3,
42,1228.5,1146.6,
43,1255.8,1173.9,
44,1283.1,1201.2,
45,1310.4,1228.5,
46,1337.7,1255.8,
47,1365,1283.1,
48,1392.3,1310.4,
49,1419.6,1337.7,
50,1446.9,1365,
51,1474.2,1392.3,
52,1501.5,1419.6,
53,1528.8,1446.9,
54,1556.1,1474.2,
55,1583.4,1501.5,
56,1610.7,1528.8,
57,1638,1556.1,
58,1665.3,1583.4,
59,1692.6,1610.7,
60,1719.9,1638,
61,1747.2,1665.3,
62,1774.5,1692.6,
63,1801.8,1719.9,
64,1829.1,1747.2,
65,1856.4,1774.5,
66,1883.7,1801.8,
67,1911,1829.1,
68,1938.3,1856.4,
69,1965.6,1883.7,
70,1992.9,1911,
71,2020.2,1938.3,
72,2047.5,1965.6,
73,2074.8,1992.9,
74,2102.1,2020.2,
75,2129.4,2047.5,
76,2156.7,2074.8,
77,2184,2102.1,
78,2211.3,2129.4,
79,2238.6,2156.7,
80,2265.9,2184,
81,2293.2,2211.3,
82,2320.5,2238.6,
83,2347.8,2265.9,
84,2375.1,2293.2,
85,2402.4,2320.5,
86,2429.7,2347.8,
87,2457,2375.1,
88,2484.3,2402.4,
89,2511.6,2429.7,
90,2538.9,2457,
91,2566.2,2484.3,
92,2593.5,2511.6,
93,2620.8,2538.9,
94,2648.1,2566.2,
95,2675.4,2593.5,
96,2702.7,2620.8,
97,2730,2648.1,
98,2757.3,2675.4,
99,2784.6,2702.7,
100,2811.9,2730,
101,2839.2,2757.3,
102,2866.5,2784.6,
103,2893.8,2811.9,
104,2921.1,2839.2,
105,2948.4,2866.5,
106,2975.7,2893.8,
107,3003,2921.1,
108,3030.3,2948.4,
109,3057.6,2975.7,
110,3084.9,3003,
111,3112.2,3030.3,
112,3139.5,3057.6,
113,3166.8,3084.9,
114,3194.1,3112.2,
115,3221.4,3139.5,
116,3248.7,3166.8,
117,3276,3194.1,
118,3303.3,3221.4,
119,3330.6,3248.7,
120,3357.9,3276,
121,3385.2,3303.3,
122,3412.5,3330.6,
123,3439.8,3357.9,
124,3467.1,3385.2,
125,3494.4,3412.5,
126,3521.7,3439.8,
127,3549,3467.1,
128,3576.3,3494.4,
129,3603.6,3521.7,
130,3630.9,3549,
131,3658.2,3576.3,
132,3685.5,3603.6,
133,3712.8,3630.9,
134,3740.1,3658.2,
135,3767.4,3685.5,
136,3794.7,3712.8,
137,3822,3740.1,
138,3849.3,3767.4,
139,3876.6,3794.7,
140,3903.9,3822,
141,3931.2,3849.3,
142,3958.5,3876.6,
143,3985.8,3903.9,
144,4013.1,3931.2,
145,4040.4,3958.5,
146,4067.7,3985.8,
147,4095,4013.1,
148,4122.3,4040.4,
149,4149.6,4067.7,
150,4176.9,4095,
151,4204.2,4122.3,
152,4231.5,4149.6,
153,4258.8,4176.9,
154,4286.1,4204.2,
155,4313.4,4231.5,
156,4340.7,4258.8,
157,4368,4286.1,
158,4395.3,4313.4,
159,4422.6,4340.7,
160,4449.9,4368,
161,4477.2,4395.3,
162,4504.5,4422.6,
163,4531.8,4449.9,
164,4559.1,4477.2,
165,4586.4,4504.5,
166,4613.7,4531.8,
167,4641,4559.1,
168,4668.3,4586.4,
169,4695.6,4613.7,
170,4722.9,4641,
171,4750.2,4668.3,
172,4777.5,4695.6,
173,4804.8,4722.9,
174,4832.1,4750.2,
175,4859.4,4777.5,
176,4886.7,4804.8,
177,4914,4832.1,
178,4941.3,4859.4,
179,4968.6,4886.7,
180,4995.9,4914,
181,5023.2,4941.3,
182,5050.5,4968.6,
183,5077.8,4995.9,
184,5105.1,5023.2,
185,5132.4,5050.5,
186,5159.7,5077.8,
187,5187,5105.1,
188,5214.3,5132.4,
189,5241.6,5159.7,
190,5268.9,5187,
191,5296.2,5214.3,
192,5323.5,5241.6,
193,5350.8,5268.9,
194,5378.1,5296.2,
195,5405.4,5323.5,
196,5432.7,5350.8,
197,5460,5378.1,
198,5487.3,5405.4,
199,5514.6,5432.7,
200,5541.9,5460,
201,5569.2,5487.3,
202,5596.5,5514.6,
203,5623.8,5541.9,
204,5651.1,5569.2,
205,5678.4,5596.5,
206,5705.7,5623.8,
207,5733,5651.1,
208,5760.3,5678.4,
209,5787.6,5705.7,
210,5814.9,5733,
211,5842.2,5760.3,
212,5869.5,5787.6,
213,5896.8,5814.9,
214,5924.1,5842.2,
215,5951.4,5869.5,
216,5978.7,5896.8,
217,6006,5924.1,
218,6033.3,5951.4,
219,6060.6,5978.7,
220,6087.9,6006,
221,6115.2,6033.3,
222,6142.5,6060.6,
223,6169.8,6087.9,
224,6197.1,6115.2,
225,6224.4,6142.5,
226,6251.7,6169.8,
227,6279,6197.1,
228,6306.3,6224.4,
229,6333.6,6251.7,
230,6360.9,6279,
231,6388.2,6306.3,
232,6415.5,6333.6,
233,6442.8,6360.9,
234,6470.1,6388.2,
235,6497.4,6415.5,
236,6524.7,6442.8,
237,6552,6470.1,
238,6579.3,6497.4,
239,6606.6,6524.7,
240,6633.9,6552,
241,6661.2,6579.3,
242,6688.5,6606.6,
243,6715.8,6633.9,
244,6743.1,6661.2,
245,6770.4,6688.5,
246,6797.7,6715.8,
247,6825,6743.1,
248,6852.3,6770.4,
249,6879.6,6797.7,
250,6906.9,6825,
251,6934.2,6852.3,
252,6961.5,6879.6,
253,6988.8,6906.9,
254,7016.1,6934.2,
255,7043.4,6961.5,
256,7070.7,6988.8,
257,7098,7016.1,
258,7125.3,7043.4,
259,7152.6,7070.7,
260,7179.9,7098,
261,7207.2,7125.3,
262,7234.5,7152.6,
263,7261.8,7179.9,
264,7289.1,7207.2,
265,7316.4,7234.5,
266,7343.7,7261.8,
267,7371,7289.1,
268,7398.3,7316.4,
269,7425.6,7343.7,
270,7452.9,7371,
271,7480.2,7398.3,
272,7507.5,7425.6,
273,7534.8,7452.9,
274,7562.1,7480.2,
275,7589.4,7507.5,
276,7616.7,7534.8,
277,7644,7562.1,
278,7671.3,7589.4,
279,7698.6,7616.7,
280,7725.9,7644,
281,7753.2,7671.3,
282,7780.5,7698.6,
283,7807.8,7725.9,
284,7835.1,7753.2,
285,7862.4,7780.5,
286,7889.7,7807.8,
287,7917,7835.1,
288,7944.3,7862.4,
289,7971.6,7889.7,
290,7998.9,7917,
291,8026.2,7944.3,
292,8053.5,7971.6,
293,8080.8,7998.9,
294,8108.1,8026.2,
295,8135.4,8053.5,
296,8162.7,8080.8,
297,8190,8108.1,
298,8217.3,8135.4,
299,8244.6,8162.7,
300,8271.9,8190,
301,8299.2,8217.3,
302,8326.5,8244.6,
303,8353.8,8271.9,
304,8381.1,8299.2,
305,8408.4,8326.5,
306,8435.7,8353.8,
307,8463,8381.1,
308,8490.3,8408.4,
309,8517.6,8435.7,
310,8544.9,8463,
311,8572.2,8490.3,
312,8599.5,8517.6,
313,8626.8,8544.9,
314,8654.1,8572.2,
315,8681.4,8599.5,
316,8708.7,8626.8,
317,8736,8654.1,
318,8763.3,8681.4,
319,8790.6,8708.7,
320,8817.9,8736,
321,8845.2,8763.3,
322,8872.5,8790.6,
323,8899.8,8817.9,
324,8927.1,8845.2,
325,8954.4,8872.5,
326,8981.7,8899.8,
327,9009,8927.1,
328,9036.3,8954.4,
329,9063.6,8981.7,
330,9090.9,9009,
331,9118.2,9036.3,
332,9145.5,9063.6,
333,9172.8,9090.9,
334,9200.1,9118.2,
335,9227.4,9145.5,
336,9254.7,9172.8,
337,9282,9200.1,
338,9309.3,9227.4,
339,9336.6,9254.7,
340,9363.9,9282,
341,9391.2,9309.3,
342,9418.5,9336.6,
343,9445.8,9363.9,
344,9473.1,9391.2,
345,9500.4,9418.5,
346,9527.7,9445.8,
347,9555,9473.1,
348,9582.3,9500.4,
349,9609.6,9527.7,
350,9636.9,9555,
351,9664.2,9582.3,
352,9691.5,9609.6,
353,9718.8,9636.9,
354,9746.1,9664.2,
355,9773.4,9691.5,
356,9800.7,9718.8,
357,9828,9746.1,
358,9855.3,9773.4,
359,9882.6,9800.7,
360,9909.9,9828,
361,9937.2,9855.3,
362,9964.5,9882.6,
363,9991.8,9909.9,
364,10019.1,9937.2,
365,10046.4,9964.5,
366,10073.7,9991.8,
367,10101,10019.1,
368,10128.3,10046.4,
369,10155.6,10073.7,
370,10182.9,10101,
371,10210.2,10128.3,
372,10237.5,10155.6,
373,10264.8,10182.9,
374,10292.1,10210.2,
375,10319.4,10237.5,
376,10346.7,10264.8,
377,10374,10292.1,
378,10401.3,10319.4,
379,10428.6,10346.7,
380,10455.9,10374,
381,10483.2,10401.3,
382,10510.5,10428.6,
383,10537.8,10455.9,
384,10565.1,10483.2,
385,10592.4,10510.5,
386,10619.7,10537.8,
387,10647,10565.1,
388,10674.3,10592.4,
389,10701.6,10619.7,
390,10728.9,10647,
391,10756.2,10674.3,
392,10783.5,10701.6,
393,10810.8,10728.9,
394,10838.1,10756.2,
395,10865.4,10783.5,
396,10892.7,10810.8,
397,10920,10838.1,
398,10947.3,10865.4,
399,10974.6,10892.7,
400,11001.9,10920,
401,11029.2,10947.3,
402,11056.5,10974.6,
403,11083.8,11001.9,
404,11111.1,11029.2,
405,11138.4,11056.5,
406,11165.7,11083.8,
407,11193,11111.1,
408,11220.3,11138.4,
409,11247.6,11165.7,
410,11274.9,11193,
411,11302.2,11220.3,
412,11329.5,11247.6,
413,11356.8,11274.9,
414,11384.1,11302.2,
415,11411.4,11329.5,
416,11438.7,11356.8,
417,11466,11384.1,
418,11493.3,11411.4,
419,11520.6,11438.7,
420,11547.9,11466,
421,11575.2,11493.3,
422,11602.5,11520.6,
423,11629.8,11547.9,
424,11657.1,11575.2,
425,11684.4,11602.5,
426,11711.7,11629.8,
427,11739,11657.1,
428,11766.3,11684.4,
429,11793.6,11711.7,
430,11820.9,11739,
431,11848.2,11766.3,
432,11875.5,11793.6,
433,11902.8,11820.9,
434,11930.1,11848.2,
435,11957.4,11875.5,
436,11984.7,11902.8,
437,12012,11930.1,
438,12039.3,11957.4,
439,12066.6,11984.7,
440,12093.9,12012,
441,12121.2,12039.3,
442,12148.5,12066.6,
443,12175.8,12093.9,
444,12203.1,12121.2,
445,12230.4,12148.5,
446,12257.7,12175.8,
447,12285,12203.1,
448,12312.3,12230.4,
449,12339.6,12257.7,
450,12366.9,12285,
451,12394.2,12312.3,
452,12421.5,12339.6,
453,12448.8,12366.9,
454,12476.1,12394.2,
455,12503.4,12421.5,
456,12530.7,12448.8,
457,12558,12476.1,
458,12585.3,12503.4,
459,12612.6,12530.7,
460,12639.9,12558,
461,12667.2,12585.3,
462,12694.5,12612.6,
463,12721.8,12639.9,
464,12749.1,12667.2,
465,12776.4,12694.5,
466,12803.7,12721.8,
467,12831,12749.1,
468,12858.3,12776.4,
469,12885.6,12803.7,
470,12912.9,12831,
471,12940.2,12858.3,
472,12967.5,12885.6,
473,12994.8,12912.9,
474,13022.1,12940.2,
475,13049.4,12967.5,
476,13076.7,12994.8,
477,13104,13022.1,
478,13131.3,13049.4,
479,13158.6,13076.7,
480,13185.9,13104,
481,13213.2,13131.3,
482,13240.5,13158.6,
483,13267.8,13185.9,
484,13295.1,13213.2,
485,13322.4,13240.5,
486,13349.7,13267.8,
487,13377,13295.1,
488,13404.3,13322.4,
489,13431.6,13349.7,
490,13458.9,13377,
491,13486.2,13404.3,
492,13513.5,13431.6,
493,13540.8,13458.9,
494,13568.1,13486.2,
495,13595.4,13513.5,
496,13622.7,13540.8,
497,13650,13568.1,
498,13677.3,13595.4,
499,13704.6,13622.7,
500,13731.9,13650,
501,13759.2,13677.3,
502,13786.5,13704.6,
503,13813.8,13731.9,
504,13841.1,13759.2,
505,13868.4,13786.5,
506,13895.7,13813.8,
507,13923,13841.1,
508,13950.3,13868.4,
509,13977.6,13895.7,
510,14004.9,13923,
511,14032.2,13950.3,
512,14059.5,13977.6,
513,14086.8,14004.9,
514,14114.1,14032.2,
515,14141.4,14059.5,
516,14168.7,14086.8,
517,14196,14114.1,
518,14223.3,14141.4,
519,14250.6,14168.7,
520,14277.9,14196,
521,14305.2,14223.3,
522,14332.5,14250.6,
523,14359.8,14277.9,
524,14387.1,14305.2,
525,14414.4,14332.5,
526,14441.7,14359.8,
527,14469,14387.1,
528,14496.3,14414.4,
529,14523.6,14441.7,
530,14550.9,14469,
531,14578.2,14496.3,
532,14605.5,14523.6,
533,14632.8,14550.9,
534,14660.1,14578.2,
535,14687.4,14605.5,
536,14714.7,14632.8,
537,14742,14660.1,
538,14769.3,14687.4,
539,14796.6,14714.7,
540,14823.9,14742,
541,14851.2,14769.3,
542,14878.5,14796.6,
543,14905.8,14823.9,
544,14933.1,14851.2,
545,14960.4,14878.5,
546,14987.7,14905.8,
547,15015,14933.1,
548,15042.3,14960.4,
549,15069.6,14987.7,
550,15096.9,15015,
551,15124.2,15042.3,
552,15151.5,15069.6,
553,15178.8,15096.9,
554,15206.1,15124.2,
555,15233.4,15151.5,
556,15260.7,15178.8,
557,15288,15206.1,
558,15315.3,15233.4,
559,15342.6,15260.7,
560,15369.9,15288,
561,15397.2,15315.3,
562,15424.5,15342.6,
563,15451.8,15369.9,
564,15479.1,15397.2,
565,15506.4,15424.5,
566,15533.7,15451.8,
567,15561,15479.1,
568,15588.3,15506.4,
569,15615.6,15533.7,
570,15642.9,15561,
571,15670.2,15588.3,
572,15697.5,15615.6,
573,15724.8,15642.9,
574,15752.1,15670.2,
575,15779.4,15697.5,
576,15806.7,15724.8,
577,15834,15752.1,
578,15861.3,15779.4,
579,15888.6,15806.7,
580,15915.9,15834,
581,15943.2,15861.3,
582,15970.5,15888.6,
583,15997.8,15915.9,
584,16025.1,15943.2,
585,16052.4,15970.5,
586,16079.7,15997.8,
587,16107,16025.1,
588,16134.3,16052.4,
589,16161.6,16079.7,
590,16188.9,16107,
591,16216.2,16134.3,
592,16243.5,16161.6,
593,16270.8,16188.9,
594,16298.1,16216.2,
595,16325.4,16243.5,
596,16352.7,16270.8,
597,16380,16298.1,
598,16407.3,16325.4,
599,16434.6,16352.7,
600,16461.9,16380,
601,16489.2,16407.3,
602,16516.5,16434.6,
603,16543.8,16461.9,
604,16571.1,16489.2,
605,16598.4,16516.5,
606,16625.7,16543.8,
607,16653,16571.1,
608,16680.3,16598.4,
609,16707.6,16625.7,
610,16734.9,16653,
611,16762.2,16680.3,
612,16789.5,16707.6,
613,16816.8,16734.9,
614,16844.1,16762.2,
615,16871.4,16789.5,
616,16898.7,16816.8,
617,16926,16844.1,
618,16953.3,16871.4,
619,16980.6,16898.7,
620,17007.9,16926,
621,17035.2,16953.3,
622,17062.5,16980.6,
623,17089.8,17007.9,
624,17117.1,17035.2,
625,17144.4,17062.5,
626,17171.7,17089.8,
627,17199,17117.1,
628,17226.3,17144.4,
629,17253.6,17171.7,
630,17280.9,17199,
631,17308.2,17226.3,
632,17335.5,17253.6,
633,17362.8,17280.9,
634,17390.1,17308.2,
635,17417.4,17335.5,
636,17444.7,17362.8,
637,17472,17390.1,
638,17499.3,17417.4,
639,17526.6,17444.7,
640,17553.9,17472,
641,17581.2,17499.3,
642,17608.5,17526.6,
643,17635.8,17553.9,
644,17663.1,17581.2,
645,17690.4,17608.5,
646,17717.7,17635.8,
647,17745,17663.1,
648,17772.3,17690.4,
649,17799.6,17717.7,
650,17826.9,17745,
651,17854.2,17772.3,
652,17881.5,17799.6,
653,17908.8,17826.9,
654,17936.1,17854.2,
655,17963.4,17881.5,
656,17990.7,17908.8,
657,18018,17936.1,
658,18045.3,17963.4,
659,18072.6,17990.7,
660,18099.9,18018,
661,18127.2,18045.3,
662,18154.5,18072.6,
663,18181.8,18099.9,
664,18209.1,18127.2,
665,18236.4,18154.5,
666,18263.7,18181.8,
667,18291,18209.1,
668,18318.3,18236.4,
669,18345.6,18263.7,
670,18372.9,18291,
671,18400.2,18318.3,
672,18427.5,18345.6,
673,18454.8,18372.9,
674,18482.1,18400.2,
675,18509.4,18427.5,
676,18536.7,18454.8,
677,18564,18482.1,
678,18591.3,18509.4,
679,18618.6,18536.7,
680,18645.9,18564,
681,18673.2,18591.3,
682,18700.5,18618.6,
683,18727.8,18645.9,
684,18755.1,18673.2,
685,18782.4,18700.5,
686,18809.7,18727.8,
687,18837,18755.1,
688,18864.3,18782.4,
689,18891.6,18809.7,
690,18918.9,18837,
691,18946.2,18864.3,
692,18973.5,18891.6,
693,19000.8,18918.9,
694,19028.1,18946.2,
