Time[y],reactor_In[t],Reactor_Out[t],Inv[t],92234[t],92235[t],92236[t],92238[t],94238[t],94239[t],94240[t],94241[t],94242[t],95241[t],95242[t],95243[t],96242[t],96243[t],96244[t],96245[t],93237[t],
4.08333,164,82,82,0.000222235,0.444322,0.352015,76.5918,0.0196702,0.467423,0.213715,0.138242,0.0719126,0.00346631,7.027e-05,0.0165495,0.00181437,4.73089e-05,0.0067794,0.000433893,0.0448674,
4.16667,164,82,82,0.000222235,0.444322,0.352015,76.5918,0.0196702,0.467423,0.213715,0.138242,0.0719126,0.00346631,7.027e-05,0.0165495,0.00181437,4.73089e-05,0.0067794,0.000433893,0.0448674,
4.25,164,82,82,0.000222235,0.444322,0.352015,76.5918,0.0196702,0.467423,0.213715,0.138242,0.0719126,0.00346631,7.027e-05,0.0165495,0.00181437,4.73089e-05,0.0067794,0.000433893,0.0448674,
4.33333,164,82,82,0.000222235,0.444322,0.352015,76.5918,0.0196702,0.467423,0.213715,0.138242,0.0719126,0.00346631,7.027e-05,0.0165495,0.00181437,4.73089e-05,0.0067794,0.000433893,0.0448674,
4.41667,164,82,82,0.000222235,0.444322,0.352015,76.5918,0.0196702,0.467423,0.213715,0.138242,0.0719126,0.00346631,7.027e-05,0.0165495,0.00181437,4.73089e-05,0.0067794,0.000433893,0.0448674,
4.5,164,82,82,0.000222235,0.444322,0.352015,76.5918,0.0196702,0.467423,0.213715,0.138242,0.0719126,0.00346631,7.027e-05,0.0165495,0.00181437,4.73089e-05,0.0067794,0.000433893,0.0448674,
4.58333,164,82,82,0.000222235,0.444322,0.352015,76.5918,0.0196702,0.467423,0.213715,0.138242,0.0719126,0.00346631,7.027e-05,0.0165495,0.00181437,4.73089e-05,0.0067794,0.000433893,0.0448674,
4.66667,164,82,82,0.000222235,0.444322,0.352015,76.5918,0.0196702,0.467423,0.213715,0.138242,0.0719126,0.00346631,7.027e-05,0.0165495,0.00181437,4.73089e-05,0.0067794,0.000433893,0.0448674,
4.75,164,82,82,0.000222235,0.444322,0.352015,76.5918,0.0196702,0.467423,0.213715,0.138242,0.0719126,0.00346631,7.027e-05,0.0165495,0.00181437,4.73089e-05,0.0067794,0.000433893,0.0448674,
4.83333,164,82,82,0.000222235,0.444322,0.352015,76.5918,0.0196702,0.467423,0.213715,0.138242,0.0719126,0.00346631,7.027e-05,0.0165495,0.00181437,4.73089e-05,0.0067794,0.000433893,0.0448674,
4.91667,164,82,82,0.000222235,0.444322,0.352015,76.5918,0.0196702,0.467423,0.213715,0.138242,0.0719126,0.00346631,7.027e-05,0.0165495,0.00181437,4.73089e-05,0.0067794,0.000433893,0.0448674,
5,164,82,82,0.000222235,0.444322,0.352015,76.5918,0.0196702,0.467423,0.213715,0.138242,0.0719126,0.00346631,7.027e-05,0.0165495,0.00181437,4.73089e-05,0.0067794,0.000433893,0.0448674,
5.08333,164,82,82,0.000222235,0.444322,0.352015,76.5918,0.0196702,0.467423,0.213715,0.138242,0.0719126,0.00346631,7.027e-05,0.0165495,0.00181437,4.73089e-05,0.0067794,0.000433893,0.0448674,
5.16667,164,82,82,0.000222235,0.444322,0.352015,76.5918,0.0196702,0.467423,0.213715,0.138242,0.0719126,0.00346631,7.027e-05,0.0165495,0.00181437,4.73089e-05,0.0067794,0.000433893,0.0448674,
5.25,164,82,82,0.000222235,0.444322,0.352015,76.5918,0.0196702,0.467423,0.213715,0.138242,0.0719126,0.00346631,7.027e-05,0.0165495,0.00181437,4.73089e-05,0.0067794,0.000433893,0.0448674,
5.33333,164,82,82,0.000222235,0.444322,0.352015,76.5918,0.0196702,0.467423,0.213715,0.138242,0.0719126,0.00346631,7.027e-05,0.0165495,0.00181437,4.73089e-05,0.0067794,0.000433893,0.0448674,
5.41667,164,82,82,0.000222235,0.444322,0.352015,76.5918,0.0196702,0.467423,0.213715,0.138242,0.0719126,0.00346631,7.027e-05,0.0165495,0.00181437,4.73089e-05,0.0067794,0.000433893,0.0448674,
5.5,164,82,82,0.000222235,0.444322,0.352015,76.5918,0.0196702,0.467423,0.213715,0.138242,0.0719126,0.00346631,7.027e-05,0.0165495,0.00181437,4.73089e-05,0.0067794,0.000433893,0.0448674,
5.58333,164,82,82,0.000222235,0.444322,0.352015,76.5918,0.0196702,0.467423,0.213715,0.138242,0.0719126,0.00346631,7.027e-05,0.0165495,0.00181437,4.73089e-05,0.0067794,0.000433893,0.0448674,
5.66667,164,82,82,0.000222235,0.444322,0.352015,76.5918,0.0196702,0.467423,0.213715,0.138242,0.0719126,0.00346631,7.027e-05,0.0165495,0.00181437,4.73089e-05,0.0067794,0.000433893,0.0448674,
5.75,164,82,82,0.000222235,0.444322,0.352015,76.5918,0.0196702,0.467423,0.213715,0.138242,0.0719126,0.00346631,7.027e-05,0.0165495,0.00181437,4.73089e-05,0.0067794,0.000433893,0.0448674,
5.83333,164,82,82,0.000222235,0.444322,0.352015,76.5918,0.0196702,0.467423,0.213715,0.138242,0.0719126,0.00346631,7.027e-05,0.0165495,0.00181437,4.73089e-05,0.0067794,0.000433893,0.0448674,
5.91667,164,82,82,0.000222235,0.444322,0.352015,76.5918,0.0196702,0.467423,0.213715,0.138242,0.0719126,0.00346631,7.027e-05,0.0165495,0.00181437,4.73089e-05,0.0067794,0.000433893,0.0448674,
6,246,164,164,0.00044447,0.888645,0.70403,153.184,0.0393404,0.934847,0.427429,0.276484,0.143825,0.00693262,0.00014054,0.033099,0.00362874,9.46178e-05,0.0135588,0.000867786,0.0897347,
