Time[month],reactor_In[kg],Reactor_Out[kg],
263,14523.6,14359.8,
264,14578.2,14414.4,
265,14632.8,14469,
266,14687.4,14523.6,
267,14742,14578.2,
268,14796.6,14632.8,
269,14851.2,14687.4,
270,14905.8,14742,
271,14960.4,14796.6,
272,15015,14851.2,
273,15069.6,14905.8,
274,15124.2,14960.4,
275,15178.8,15015,
276,15233.4,15069.6,
277,15288,15124.2,
278,15342.6,15178.8,
279,15397.2,15233.4,
280,15451.8,15288,
281,15506.4,15342.6,
282,15561,15397.2,
283,15615.6,15451.8,
284,15670.2,15506.4,
285,15724.8,15561,
286,15779.4,15615.6,
287,15834,15670.2,
288,15888.6,15724.8,
289,15943.2,15779.4,
290,15997.8,15834,
291,16052.4,15888.6,
292,16107,15943.2,
293,16161.6,15997.8,
294,16216.2,16052.4,
295,16270.8,16107,
296,16325.4,16161.6,
297,16380,16216.2,
298,16434.6,16270.8,
299,16489.2,16325.4,
300,16543.8,16380,
301,16598.4,16434.6,
302,16653,16489.2,
303,16707.6,16543.8,
304,16762.2,16598.4,
305,16816.8,16653,
306,16871.4,16707.6,
307,16926,16762.2,
308,16980.6,16816.8,
309,17035.2,16871.4,
310,17089.8,16926,
311,17144.4,16980.6,
312,17199,17035.2,
313,17253.6,17089.8,
314,17308.2,17144.4,
315,17362.8,17199,
316,17417.4,17253.6,
317,17472,17308.2,
318,17526.6,17362.8,
319,17581.2,17417.4,
320,17635.8,17472,
321,17690.4,17526.6,
322,17745,17581.2,
323,17799.6,17635.8,
324,17854.2,17690.4,
325,17908.8,17745,
326,17963.4,17799.6,
327,18018,17854.2,
328,18072.6,17908.8,
329,18127.2,17963.4,
330,18181.8,18018,
331,18236.4,18072.6,
332,18291,18127.2,
333,18345.6,18181.8,
334,18400.2,18236.4,
335,18454.8,18291,
336,18509.4,18345.6,
337,18564,18400.2,
338,18618.6,18454.8,
339,18673.2,18509.4,
340,18727.8,18564,
341,18782.4,18618.6,
342,18837,18673.2,
343,18891.6,18727.8,
344,18946.2,18782.4,
345,19000.8,18837,
346,19055.4,18891.6,
347,19110,18946.2,
348,19164.6,19000.8,
349,19219.2,19055.4,
350,19273.8,19110,
351,19328.4,19164.6,
352,19383,19219.2,
353,19437.6,19273.8,
354,19492.2,19328.4,
355,19546.8,19383,
356,19601.4,19437.6,
357,19656,19492.2,
358,19710.6,19546.8,
359,19765.2,19601.4,
360,19819.8,19656,
361,19874.4,19710.6,
362,19929,19765.2,
363,19983.6,19819.8,
364,20038.2,19874.4,
365,20092.8,19929,
366,20147.4,19983.6,
367,20202,20038.2,
368,20256.6,20092.8,
369,20311.2,20147.4,
370,20365.8,20202,
371,20420.4,20256.6,
372,20475,20311.2,
373,20529.6,20365.8,
374,20584.2,20420.4,
375,20638.8,20475,
376,20693.4,20529.6,
377,20748,20584.2,
378,20802.6,20638.8,
379,20857.2,20693.4,
380,20911.8,20748,
381,20966.4,20802.6,
