Time[month],reactor_In[kg],Reactor_Out[kg],
0,0,0,
1,81.9,0,
2,109.2,27.3,
3,136.5,54.6,
4,163.8,81.9,
5,191.1,109.2,
6,218.4,136.5,
7,245.7,163.8,
8,273,191.1,
9,300.3,218.4,
10,327.6,245.7,
11,354.9,273,
12,382.2,300.3,
13,409.5,327.6,
14,436.8,354.9,
15,464.1,382.2,
16,491.4,409.5,
17,518.7,436.8,
18,546,464.1,
19,573.3,491.4,
20,600.6,518.7,
21,627.9,546,
22,655.2,573.3,
23,682.5,600.6,
24,709.8,627.9,
25,737.1,655.2,
26,764.4,682.5,
27,791.7,709.8,
28,819,737.1,
29,846.3,764.4,
30,873.6,791.7,
31,900.9,819,
32,928.2,846.3,
33,955.5,873.6,
34,982.8,900.9,
35,1010.1,928.2,
36,1037.4,955.5,
37,1064.7,982.8,
38,1092,1010.1,
39,1119.3,1037.4,
40,1146.6,1064.7,
41,1173.9,1092,
42,1201.2,1119.3,
43,1228.5,1146.6,
44,1255.8,1173.9,
45,1283.1,1201.2,
46,1310.4,1228.5,
47,1337.7,1255.8,
48,1365,1283.1,
49,1392.3,1310.4,
50,1419.6,1337.7,
51,1446.9,1365,
52,1474.2,1392.3,
53,1501.5,1419.6,
54,1528.8,1446.9,
55,1556.1,1474.2,
56,1583.4,1501.5,
57,1610.7,1528.8,
58,1638,1556.1,
59,1665.3,1583.4,
60,1692.6,1610.7,
61,1719.9,1638,
62,1747.2,1665.3,
63,1774.5,1692.6,
64,1801.8,1719.9,
65,1829.1,1747.2,
66,1856.4,1774.5,
67,1883.7,1801.8,
68,1911,1829.1,
69,1938.3,1856.4,
70,1965.6,1883.7,
71,1992.9,1911,
72,2020.2,1938.3,
73,2047.5,1965.6,
74,2074.8,1992.9,
75,2102.1,2020.2,
76,2129.4,2047.5,
77,2156.7,2074.8,
78,2184,2102.1,
79,2211.3,2129.4,
80,2238.6,2156.7,
81,2265.9,2184,
82,2293.2,2211.3,
83,2320.5,2238.6,
84,2347.8,2265.9,
85,2375.1,2293.2,
86,2402.4,2320.5,
87,2429.7,2347.8,
88,2457,2375.1,
89,2484.3,2402.4,
90,2511.6,2429.7,
91,2538.9,2457,
92,2566.2,2484.3,
93,2593.5,2511.6,
94,2620.8,2538.9,
95,2648.1,2566.2,
96,2675.4,2593.5,
97,2702.7,2620.8,
98,2730,2648.1,
99,2757.3,2675.4,
100,2784.6,2702.7,
101,2811.9,2730,
102,2839.2,2757.3,
103,2866.5,2784.6,
104,2893.8,2811.9,
105,2921.1,2839.2,
106,2948.4,2866.5,
107,2975.7,2893.8,
108,3003,2921.1,
109,3030.3,2948.4,
110,3057.6,2975.7,
111,3084.9,3003,
112,3112.2,3030.3,
113,3139.5,3057.6,
114,3166.8,3084.9,
115,3194.1,3112.2,
116,3221.4,3139.5,
117,3248.7,3166.8,
118,3276,3194.1,
119,3303.3,3221.4,
120,3330.6,3248.7,
121,3357.9,3276,
122,3385.2,3303.3,
123,3412.5,3330.6,
124,3439.8,3357.9,
125,3467.1,3385.2,
126,3494.4,3412.5,
127,3521.7,3439.8,
128,3549,3467.1,
129,3576.3,3494.4,
130,3603.6,3521.7,
131,3630.9,3549,
132,3658.2,3576.3,
133,3685.5,3603.6,
134,3712.8,3630.9,
135,3740.1,3658.2,
136,3767.4,3685.5,
137,3794.7,3712.8,
138,3822,3740.1,
139,3849.3,3767.4,
140,3876.6,3794.7,
141,3903.9,3822,
142,3931.2,3849.3,
143,3958.5,3876.6,
144,3985.8,3903.9,
145,4013.1,3931.2,
146,4040.4,3958.5,
147,4067.7,3985.8,
148,4095,4013.1,
149,4122.3,4040.4,
150,4149.6,4067.7,
151,4176.9,4095,
152,4204.2,4122.3,
153,4231.5,4149.6,
154,4258.8,4176.9,
155,4286.1,4204.2,
156,4313.4,4231.5,
157,4340.7,4258.8,
158,4368,4286.1,
159,4395.3,4313.4,
160,4422.6,4340.7,
161,4449.9,4368,
162,4477.2,4395.3,
