Time[y],reactor_In[t],Reactor_Out[t],Inv[t],92234[t],92235[t],92236[t],92238[t],94238[t],94239[t],94240[t],94241[t],94242[t],95241[t],95242[t],95243[t],96242[t],96243[t],96244[t],96245[t],93237[t],
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.0833333,81.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.166667,81.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.25,81.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.333333,81.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.416667,81.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.5,81.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.583333,81.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.666667,81.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.75,81.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.833333,81.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.916667,81.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,81.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.08333,109.2,27.3,27.3,6.52203e-05,0.130397,0.103307,22.4777,0.00577271,0.137177,0.0627198,0.0405704,0.0211045,0.00101727,2.06225e-05,0.00485685,0.000532471,1.3884e-05,0.00198958,0.000127336,0.0131674,
1.16667,109.2,27.3,27.3,6.52203e-05,0.130397,0.103307,22.4777,0.00577271,0.137177,0.0627198,0.0405704,0.0211045,0.00101727,2.06225e-05,0.00485685,0.000532471,1.3884e-05,0.00198958,0.000127336,0.0131674,
1.25,109.2,27.3,27.3,6.52203e-05,0.130397,0.103307,22.4777,0.00577271,0.137177,0.0627198,0.0405704,0.0211045,0.00101727,2.06225e-05,0.00485685,0.000532471,1.3884e-05,0.00198958,0.000127336,0.0131674,
1.33333,109.2,27.3,27.3,6.52203e-05,0.130397,0.103307,22.4777,0.00577271,0.137177,0.0627198,0.0405704,0.0211045,0.00101727,2.06225e-05,0.00485685,0.000532471,1.3884e-05,0.00198958,0.000127336,0.0131674,
1.41667,109.2,27.3,27.3,6.52203e-05,0.130397,0.103307,22.4777,0.00577271,0.137177,0.0627198,0.0405704,0.0211045,0.00101727,2.06225e-05,0.00485685,0.000532471,1.3884e-05,0.00198958,0.000127336,0.0131674,
1.5,109.2,27.3,27.3,6.52203e-05,0.130397,0.103307,22.4777,0.00577271,0.137177,0.0627198,0.0405704,0.0211045,0.00101727,2.06225e-05,0.00485685,0.000532471,1.3884e-05,0.00198958,0.000127336,0.0131674,
1.58333,109.2,27.3,27.3,6.52203e-05,0.130397,0.103307,22.4777,0.00577271,0.137177,0.0627198,0.0405704,0.0211045,0.00101727,2.06225e-05,0.00485685,0.000532471,1.3884e-05,0.00198958,0.000127336,0.0131674,
1.66667,109.2,27.3,27.3,6.52203e-05,0.130397,0.103307,22.4777,0.00577271,0.137177,0.0627198,0.0405704,0.0211045,0.00101727,2.06225e-05,0.00485685,0.000532471,1.3884e-05,0.00198958,0.000127336,0.0131674,
1.75,109.2,27.3,27.3,6.52203e-05,0.130397,0.103307,22.4777,0.00577271,0.137177,0.0627198,0.0405704,0.0211045,0.00101727,2.06225e-05,0.00485685,0.000532471,1.3884e-05,0.00198958,0.000127336,0.0131674,
