Time[y],reactor_In[t],Reactor_Out[t],Inv[t],92234[t],92235[t],92236[t],92238[t],94238[t],94239[t],94240[t],94241[t],94242[t],95241[t],95242[t],95243[t],96242[t],96243[t],96244[t],96245[t],93237[t],
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.0833333,81.999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.166667,81.999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.25,81.999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.333333,81.999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.416667,81.999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.5,81.999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.583333,81.999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.666667,81.999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.75,81.999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.833333,81.999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.916667,81.999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,81.999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.08333,109.332,27.333,27.333,6.52991e-05,0.130555,0.103432,22.5049,0.00577968,0.137343,0.0627956,0.0406195,0.02113,0.0010185,2.06474e-05,0.00486272,0.000533114,1.39007e-05,0.00199199,0.00012749,0.0131833,
1.16667,109.332,27.333,27.333,6.52991e-05,0.130555,0.103432,22.5049,0.00577968,0.137343,0.0627956,0.0406195,0.02113,0.0010185,2.06474e-05,0.00486272,0.000533114,1.39007e-05,0.00199199,0.00012749,0.0131833,
1.25,109.332,27.333,27.333,6.52991e-05,0.130555,0.103432,22.5049,0.00577968,0.137343,0.0627956,0.0406195,0.02113,0.0010185,2.06474e-05,0.00486272,0.000533114,1.39007e-05,0.00199199,0.00012749,0.0131833,
1.33333,109.332,27.333,27.333,6.52991e-05,0.130555,0.103432,22.5049,0.00577968,0.137343,0.0627956,0.0406195,0.02113,0.0010185,2.06474e-05,0.00486272,0.000533114,1.39007e-05,0.00199199,0.00012749,0.0131833,
1.41667,109.332,27.333,27.333,6.52991e-05,0.130555,0.103432,22.5049,0.00577968,0.137343,0.0627956,0.0406195,0.02113,0.0010185,2.06474e-05,0.00486272,0.000533114,1.39007e-05,0.00199199,0.00012749,0.0131833,
1.5,109.332,27.333,27.333,6.52991e-05,0.130555,0.103432,22.5049,0.00577968,0.137343,0.0627956,0.0406195,0.02113,0.0010185,2.06474e-05,0.00486272,0.000533114,1.39007e-05,0.00199199,0.00012749,0.0131833,
1.58333,109.332,27.333,27.333,6.52991e-05,0.130555,0.103432,22.5049,0.00577968,0.137343,0.0627956,0.0406195,0.02113,0.0010185,2.06474e-05,0.00486272,0.000533114,1.39007e-05,0.00199199,0.00012749,0.0131833,
1.66667,109.332,27.333,27.333,6.52991e-05,0.130555,0.103432,22.5049,0.00577968,0.137343,0.0627956,0.0406195,0.02113,0.0010185,2.06474e-05,0.00486272,0.000533114,1.39007e-05,0.00199199,0.00012749,0.0131833,
1.75,109.332,27.333,27.333,6.52991e-05,0.130555,0.103432,22.5049,0.00577968,0.137343,0.0627956,0.0406195,0.02113,0.0010185,2.06474e-05,0.00486272,0.000533114,1.39007e-05,0.00199199,0.00012749,0.0131833,
1.83333,109.332,27.333,27.333,6.52991e-05,0.130555,0.103432,22.5049,0.00577968,0.137343,0.0627956,0.0406195,0.02113,0.0010185,2.06474e-05,0.00486272,0.000533114,1.39007e-05,0.00199199,0.00012749,0.0131833,
1.91667,109.332,27.333,27.333,6.52991e-05,0.130555,0.103432,22.5049,0.00577968,0.137343,0.0627956,0.0406195,0.02113,0.0010185,2.06474e-05,0.00486272,0.000533114,1.39007e-05,0.00199199,0.00012749,0.0131833,
2,109.332,27.333,27.333,6.52991e-05,0.130555,0.103432,22.5049,0.00577968,0.137343,0.0627956,0.0406195,0.02113,0.0010185,2.06474e-05,0.00486272,0.000533114,1.39007e-05,0.00199199,0.00012749,0.0131833,
2.08333,136.665,54.666,54.666,0.000130598,0.26111,0.206865,45.0098,0.0115594,0.274685,0.125591,0.0812389,0.04226,0.00203701,4.12948e-05,0.00972544,0.00106623,2.78015e-05,0.00398397,0.000254981,0.0263667,
