Time[month],reactor_In[kg],Reactor_Out[kg],
0,82,0,
1,82,0,
2,82,0,
3,164,82,
4,164,82,
5,164,82,
6,246,164,
7,246,164,
8,246,164,
9,328,246,
10,328,246,
11,328,246,
12,410,328,
13,410,328,
14,410,328,
15,492,410,
16,492,410,
17,492,410,
18,574,492,
19,574,492,
20,574,492,
21,656,574,
22,656,574,
23,656,574,
24,738,656,
25,738,656,
26,738,656,
27,820,738,
28,820,738,
29,820,738,
30,902,820,
31,902,820,
32,902,820,
33,984,902,
34,984,902,
35,984,902,
36,1066,984,
37,1066,984,
38,1066,984,
39,1148,1066,
40,1148,1066,
41,1148,1066,
42,1230,1148,
43,1230,1148,
44,1230,1148,
45,1312,1230,
46,1312,1230,
47,1312,1230,
48,1394,1312,
49,1394,1312,
50,1394,1312,
51,1476,1394,
52,1476,1394,
53,1476,1394,
54,1558,1476,
55,1558,1476,
56,1558,1476,
57,1640,1558,
58,1640,1558,
59,1640,1558,
60,1722,1640,
61,1722,1640,
62,1722,1640,
63,1804,1722,
64,1804,1722,
65,1804,1722,
66,1886,1804,
67,1886,1804,
68,1886,1804,
69,1968,1886,
70,1968,1886,
71,1968,1886,
72,2050,1968,
73,2050,1968,
74,2050,1968,
75,2132,2050,
76,2132,2050,
77,2132,2050,
78,2214,2132,
79,2214,2132,
80,2214,2132,
81,2296,2214,
82,2296,2214,
83,2296,2214,
84,2378,2296,
85,2378,2296,
86,2378,2296,
87,2460,2378,
88,2460,2378,
89,2460,2378,
90,2542,2460,
91,2542,2460,
92,2542,2460,
93,2624,2542,
94,2624,2542,
95,2624,2542,
96,2706,2624,
97,2706,2624,
98,2706,2624,
99,2788,2706,
100,2788,2706,
101,2788,2706,
102,2870,2788,
103,2870,2788,
104,2870,2788,
105,2952,2870,
106,2952,2870,
107,2952,2870,
108,3034,2952,
109,3034,2952,
110,3034,2952,
111,3116,3034,
112,3116,3034,
113,3116,3034,
114,3198,3116,
115,3198,3116,
116,3198,3116,
117,3280,3198,
118,3280,3198,
119,3280,3198,
120,3362,3280,
121,3362,3280,
122,3362,3280,
123,3444,3362,
124,3444,3362,
125,3444,3362,
126,3526,3444,
127,3526,3444,
128,3526,3444,
129,3608,3526,
130,3608,3526,
131,3608,3526,
132,3690,3608,
133,3690,3608,
134,3690,3608,
135,3772,3690,
136,3772,3690,
137,3772,3690,
138,3854,3772,
139,3854,3772,
140,3854,3772,
141,3936,3854,
142,3936,3854,
143,3936,3854,
144,4018,3936,
145,4018,3936,
146,4018,3936,
147,4100,4018,
148,4100,4018,
149,4100,4018,
150,4182,4100,
151,4182,4100,
152,4182,4100,
153,4264,4182,
154,4264,4182,
155,4264,4182,
156,4346,4264,
157,4346,4264,
158,4346,4264,
159,4428,4346,
160,4428,4346,
161,4428,4346,
162,4510,4428,
163,4510,4428,
164,4510,4428,
165,4592,4510,
166,4592,4510,
167,4592,4510,
168,4674,4592,
169,4674,4592,
170,4674,4592,
171,4756,4674,
172,4756,4674,
173,4756,4674,
174,4838,4756,
175,4838,4756,
176,4838,4756,
177,4920,4838,
178,4920,4838,
179,4920,4838,
180,5002,4920,
181,5002,4920,
182,5002,4920,
183,5084,5002,
184,5084,5002,
185,5084,5002,
186,5166,5084,
187,5166,5084,
188,5166,5084,
189,5248,5166,
190,5248,5166,
191,5248,5166,
192,5330,5248,
193,5330,5248,
194,5330,5248,
195,5412,5330,
